danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,title,artist
0.585,0.887,3,-5.086,0,0.0362,0.000376,0.0518,0.132,0.711,118.035,Hail to the King,Avenged Sevenfold
0.639,0.71,1,-7.445,1,0.0275,0.0133,0,0.118,0.378,119.989,Rx (Medicate),Theory of a Deadman
0.492,0.896,4,-5.819,0,0.117,0.000172,2.78e-06,0.189,0.534,184.981,Headstrong,Trapt
0.466,0.833,7,-4.215,1,0.304,0.0266,0,0.0327,0.661,88.785,Killing In The Name,Rage Against The Machine
0.557,0.886,11,-4.196,0,0.0498,0.000595,9.84e-05,0.0904,0.17,114.025,Bad Company,Five Finger Death Punch
0.534,0.887,0,-3.777,1,0.0345,0.0768,9.93e-05,0.325,0.72,122.494,Livin' On A Prayer,Bon Jovi
0.645,0.792,4,-7.34,0,0.036,0.0562,0.0121,0.119,0.666,90.565,Drive,Incubus
0.549,0.93,5,-3.468,0,0.0487,0.00164,6.67e-05,0.39,0.526,112.447,Savior,Rise Against
0.446,0.764,10,-5.042,1,0.033,0.00135,0,0.099,0.543,172.094,How You Remind Me,Nickelback
0.7,0.864,7,-3.629,1,0.0283,0.0212,0,0.0956,0.887,102.997,All Summer Long,Kid Rock
0.274,0.949,11,-8.642,1,0.0896,0.0214,0.00778,0.218,0.497,100.346,Paradise City,Guns N' Roses
0.615,0.949,8,-3.52,1,0.0549,0.00131,3.04e-06,0.0585,0.586,131.985,Fake It,Seether
0.553,0.853,8,-3.668,1,0.0339,0.000684,0,0.126,0.506,122.023,Animal I Have Become,Three Days Grace
0.656,0.932,4,-3.405,0,0.0708,0.00347,0.00147,0.144,0.544,130.936,Bodies,Drowning Pool
0.354,0.825,6,-5.325,1,0.0406,0.000203,6.95e-05,0.0758,0.16,105.495,Black Hole Sun,Soundgarden
0.391,0.963,10,-4.378,0,0.0773,5.86e-05,0.0689,0.14,0.364,167.065,The Diary of Jane - Single Version,Breaking Benjamin
0.322,0.28,6,-9.367,0,0.0281,0.468,1.1e-06,0.102,0.175,85.794,The Sound Of Silence,Disturbed
0.623,0.93,5,-5.285,1,0.0324,0.0141,1.64e-06,0.138,0.287,120.119,What I've Done,Linkin Park
0.354,0.982,4,-3.026,0,0.168,0.000237,0.000294,0.204,0.194,143.772,Duality,Slipknot
0.498,0.83,6,-5.157,0,0.0421,0.00461,0,0.139,0.453,89.342,I Hate Everything About You,Three Days Grace
0.483,0.926,4,-5.122,0,0.0669,0.00662,0,0.29,0.53,150.016,Wrong Side of Heaven,Five Finger Death Punch
0.543,0.965,6,-4.038,1,0.0963,0.000613,9.97e-06,0.0883,0.715,155.019,Jekyll and Hyde,Five Finger Death Punch
0.536,0.55,10,-6.733,0,0.0248,0.0537,0,0.134,0.234,144.018,Here Without You,3 Doors Down
